" ","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Crimes","","","","","","","","","",""
"Violent Crimes","337","420","431","502","400","407","469","465","475","436"
"Homicide","2","0","2","3","1","2","3","4","6","6"
"Rape (Forcible Rape prior to 2014)","49","59","68","55","36","28","44","37","22","32"
"Rape","47","52","66","54","36","28","43","36","19","31"
"Attempted Rape","2","7","2","1","0","0","1","1","3","1"
"Robbery","151","184","187","216","159","131","134","154","170","145"
"Weapon","","","","","","","","","",""
"Firearm","42","47","50","37","25","27","31","30","42","17"
"Knife or Cutting Instrument","5","11","11","14","6","8","11","9","16","16"
"Other Weapon","19","31","35","108","65","50","50","42","29","21"
"Strong-Arm","85","95","91","57","63","46","42","73","83","91"
"Location","","","","","","","","","",""
"Highway","60","26","0","0","1","0","0","13","28","30"
"Commercial","29","52","67","71","68","39","31","49","53","51"
"Gas Station","4","2","5","5","0","9","11","1","3","4"
"Convenience Store","12","20","12","31","16","14","15","18","19","16"
"Residence","25","19","19","23","13","11","23","22","22","8"
"Bank","1","4","4","3","3","4","2","2","3","2"
"Miscellaneous","20","61","80","83","58","54","52","49","42","34"
"Aggravated Assault","135","177","174","228","204","246","288","270","277","253"
"Weapon","","","","","","","","","",""
"Firearm","3","15","12","20","16","16","20","42","60","40"
"Knife or Cutting Instrument","21","24","31","26","28","39","52","40","39","52"
"Other Weapon","78","115","113","133","118","151","153","133","126","120"
"Hands  Fists  Feet","33","23","18","49","42","40","63","55","52","41"
"Property Crimes","4,371","4,715","5,083","4,687","4,523","5,722","5,674","6,400","6,316","5,233"
"Burglary","913","923","673","720","547","864","686","997","1,164","771"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","662","613","464","524","378","635","499","785","940","576"
"No Force","251","310","209","196","169","229","187","212","224","195"
"Location / Time","","","","","","","","","",""
"Residence","539","514","352","350","248","290","263","232","292","228"
"Night","118","111","79","74","53","94","86","87","117","87"
"Day","261","205","130","144","98","85","59","68","122","89"
"Unknown","160","198","143","132","97","111","118","77","53","52"
"Non-Residence","374","409","321","370","299","574","423","765","872","543"
"Night","105","128","96","112","97","191","124","439","484","248"
"Day","92","91","63","67","67","112","71","174","220","161"
"Unknown","177","190","162","191","135","271","228","152","168","134"
"Motor Vehicle Theft","703","795","865","683","568","1,061","1,176","1,194","1,321","1,214"
"Automotive","509","570","570","457","361","543","573","568","1,016","905"
"Trucks and Buses","135","162","242","178","176","390","513","440","243","222"
"Other","59","63","53","48","31","128","90","186","62","87"
"Larceny-Theft","2,755","2,997","3,545","3,284","3,408","3,797","3,812","4,209","3,831","3,248"
"Pocket-Picking","25","18","23","20","29","12","12","12","26","29"
"Purse-Snatching","27","22","43","32","37","14","7","12","10","6"
"Shoplifting","310","349","338","396","254","220","188","179","371","341"
"From Motor Vehicle","1,356","1,523","2,078","1,850","2,090","2,194","2,036","1,934","1,598","1,430"
"Motor Vehicle Accessories","52","50","84","56","93","252","413","984","649","361"
"Bicycles","119","200","134","147","136","149","153","160","152","127"
"From Building","226","222","180","208","199","177","188","102","141","164"
"Coin Operated Machine","1","2","5","2","9","6","7","27","69","27"
"Other","639","611","660","573","561","773","808","799","815","763"
"Over $400","1,229","1,234","1,512","1,385","1,390","1,403","null","null","null","null"
"Over $200","0","0","0","0","0","0","2,181","2,627","2,297","1,725"
"$200 through $400","320","394","494","423","395","436","null","null","null","null"
"$50 through $199","447","493","565","549","528","522","389","317","447","444"
"Under $50","759","876","974","927","1,095","1,436","1,242","1,265","1,087","1,079"
"Arson","14","21","26","22","17","33","20","22","33","40"
"Structural Property","8","11","15","16","8","20","13","7","2","0"
"Mobile Property","3","1","1","0","0","0","0","2","3","2"
"Other Property","3","9","10","6","9","13","7","13","28","38"
